NTAName,NTACode,DisplacementRiskIndex,PopulationVulnerability,HousingConditions,MarketPressure,NotWhite,Below2xPovertyRate,Below2xPovertyRate_MOE,LimitedEnglishProficiency,LimitedEnglishProficiency_MOE,SevereRentBurdenVsCity,SevereRentBurden,SevereRentBurden_MOE,RentalHousing,RentalHousing_MOE,NotIncomeRestricted,NotRentStabilizedVsCity,NotRentStabilized,NotRentStabilized_MOE,3PlusMaintenanceDeficienciesVsCity,3PlusMaintenanceDeficiencies,3PlusMaintenanceDeficiencies_MOE,ChangeInRentsVsCity,ChangeInRents,ChangeInRents_MOE,SalesPriceAppreciation,ChangeInPopulationWithBachelorsDegreesVsCity,ChangeInPopulationWithBachelorsDegrees,ChangeInPopulationWithBachelorsDegrees_MOE,Adjacency
Bedford,BK75,Higher,Intermediate,Higher,Highest,59.3,50.4,1.7,12,1,No statistical difference from the City in the proportion of severely rent burdened households,28.3,2.3,80,1.5,81.1,No statistical difference from the City in the proportion of rent-stabilized households,38,9.6,Larger proportion of units with 3+ maintenance deficiencies than the City,23,5.6,Larger rent change than City,347,97,4.637981747,Larger percent change of population with a bachelor's degree than the City,122,21.9,Not adjacent to neighborhoods with high Market Pressure scores
Bedford Park-Fordham North,BX05,Highest,Highest,Higher,Lowest,94.6,57.1,2.4,34,2,Larger proportion of severely rent burdened households than City,33.9,2.8,95.4,0.8,91,Larger proportion of households in rent-stabilized units than City,88.2,6,Larger proportion of units with 3+ maintenance deficiencies than the City,29,5.9,No statistical difference in rent change from City,148,48,3.068836533,No statistical difference from the City in the percent change of population with a bachelor's degree,1,16.9,Not adjacent to neighborhoods with high Market Pressure scores
Bellerose,QN43,Intermediate,Intermediate,Intermediate,Lowest,79.6,21.1,2.6,21,3,No statistical difference from the City in the proportion of severely rent burdened households,33.3,6.9,25.8,3.4,100,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,352,275,2.820302116,Smaller percent change of population with a bachelor's degree than the City,0.5,12.9,Not adjacent to neighborhoods with high Market Pressure scores
Belmont,BX06,Highest,Highest,Higher,Lowest,83.7,66.5,3.5,26,3,Larger proportion of severely rent burdened households than City,41.1,4.2,94.9,1.5,88.5,No statistical difference from the City in the proportion of rent-stabilized households,45.8,9.7,Larger proportion of units with 3+ maintenance deficiencies than the City,21.2,5.6,No statistical difference in rent change from City,140,82,2.44456771,No statistical difference from the City in the percent change of population with a bachelor's degree,41.4,38,Not adjacent to neighborhoods with high Market Pressure scores
Bensonhurst East,BK29,Highest,Highest,Intermediate,Higher,64.2,39.8,1.6,45,2,Larger proportion of severely rent burdened households than City,32.3,2.6,63.3,1.9,98.8,No statistical difference from the City in the proportion of rent-stabilized households,44.8,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,5,2,No statistical difference in rent change from City,151,52,3.463377387,Larger percent change of population with a bachelor's degree than the City,57,14.2,Adjacent to neighborhoods with high Market Pressure scores
Bensonhurst West,BK28,Highest,Highest,Intermediate,Higher,64.6,41.8,1.4,45,2,Larger proportion of severely rent burdened households than City,34,2.3,66,1.6,99.5,No statistical difference from the City in the proportion of rent-stabilized households,44.8,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,5,2,No statistical difference in rent change from City,223,48,3.463377387,Larger percent change of population with a bachelor's degree than the City,63.6,13.2,Adjacent to neighborhoods with high Market Pressure scores
Borough Park,BK88,Higher,Higher,Intermediate,Lower,30.2,61.3,1.4,27,2,Larger proportion of severely rent burdened households than City,49.4,2.5,67.8,1.8,99.9,No statistical difference from the City in the proportion of rent-stabilized households,46.6,7.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.4,3.4,No statistical difference in rent change from City,180,64,3.683396314,No statistical difference from the City in the percent change of population with a bachelor's degree,-12,9,Adjacent to neighborhoods with high Market Pressure scores
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,Lowest,Lowest,Lower,Lowest,26.1,19.4,2.1,6,1,No statistical difference from the City in the proportion of severely rent burdened households,26.1,5.3,38.8,2.7,99.9,No statistical difference from the City in the proportion of rent-stabilized households,38,11.1,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.7,4.4,No statistical difference in rent change from City,107,120,2.636844026,Smaller percent change of population with a bachelor's degree than the City,10.2,11.9,Not adjacent to neighborhoods with high Market Pressure scores
Briarwood-Jamaica Hills,QN35,Higher,Intermediate,Higher,Lowest,84.5,30.9,2.2,32,3,No statistical difference from the City in the proportion of severely rent burdened households,28,3.8,61.2,2.6,98.6,Smaller proportion of households in rent-stabilized units than City,34.5,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.1,2.1,No statistical difference in rent change from City,216,83,2.772153072,No statistical difference from the City in the percent change of population with a bachelor's degree,8.6,11.5,Not adjacent to neighborhoods with high Market Pressure scores
Brighton Beach,BK19,Highest,Higher,Intermediate,Higher,36,45,2.6,57,3,Larger proportion of severely rent burdened households than City,34.9,3.5,70.6,2.3,97.8,No statistical difference from the City in the proportion of rent-stabilized households,47.1,11.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.9,3.1,No statistical difference in rent change from City,171,93,2.881348945,Larger percent change of population with a bachelor's degree than the City,27,14.5,Adjacent to neighborhoods with high Market Pressure scores
Bronxdale,BX07,Highest,Highest,Higher,Lowest,86.7,50,2.9,24,3,Larger proportion of severely rent burdened households than City,33.3,3.6,83.1,2,81.8,No statistical difference from the City in the proportion of rent-stabilized households,47,10.7,Larger proportion of units with 3+ maintenance deficiencies than the City,19.5,5.2,No statistical difference in rent change from City,188,62,2.68441827,No statistical difference from the City in the percent change of population with a bachelor's degree,10.7,19.3,Not adjacent to neighborhoods with high Market Pressure scores
Brooklyn Heights-Cobble Hill,BK09,Lowest,Lowest,Intermediate,Higher,26.5,12.3,2,4,1,Smaller proportion of severely rent burdened households than City,16.5,3.8,53.1,2.7,96,Smaller proportion of households in rent-stabilized units than City,24.5,5.8,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,7.8,3.7,Larger rent change than City,507,244,3.718974435,Smaller percent change of population with a bachelor's degree than the City,-7.8,7.5,Adjacent to neighborhoods with high Market Pressure scores
Brownsville,BK81,Higher,Highest,Higher,Lowest,98.6,66.1,0.9,9,1,Larger proportion of severely rent burdened households than City,41.7,2.9,86.9,1.3,53.4,No statistical difference from the City in the proportion of rent-stabilized households,40.8,9.2,Larger proportion of units with 3+ maintenance deficiencies than the City,30.2,7,Smaller rent change than City,44,86,3.145629614,No statistical difference from the City in the percent change of population with a bachelor's degree,21.6,24,Not adjacent to neighborhoods with high Market Pressure scores
Bushwick North,BK77,Highest,Higher,Highest,Highest,76.2,48.9,1.9,26,2,Larger proportion of severely rent burdened households than City,34.2,2.6,89,1.4,97.3,Smaller proportion of households in rent-stabilized units than City,29,8.6,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,14.6,5.1,Larger rent change than City,351,78,4.813609577,Larger percent change of population with a bachelor's degree than the City,156,30.1,Not adjacent to neighborhoods with high Market Pressure scores
Bushwick South,BK78,Higher,Intermediate,Higher,Highest,77.2,46.1,1.8,20,2,No statistical difference from the City in the proportion of severely rent burdened households,30.1,2.2,84.2,1.4,82.8,Smaller proportion of households in rent-stabilized units than City,29,8.6,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,14.6,5.1,Larger rent change than City,357,103,4.813609577,Larger percent change of population with a bachelor's degree than the City,156,29.4,Not adjacent to neighborhoods with high Market Pressure scores
Cambria Heights,QN33,Lowest,Lower,Intermediate,Lowest,98.6,11.6,1.4,5,1,No statistical difference from the City in the proportion of severely rent burdened households,24.9,10.7,13.1,2.3,99.9,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,300,398,2.820302116,No statistical difference from the City in the percent change of population with a bachelor's degree,11.1,15.6,Not adjacent to neighborhoods with high Market Pressure scores
Canarsie,BK50,Lower,Lower,Intermediate,Lowest,96.2,27.4,1.2,9,1,Smaller proportion of severely rent burdened households than City,25.6,2.3,51.5,1.6,89.5,Smaller proportion of households in rent-stabilized units than City,11.7,5.7,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.3,3.4,No statistical difference in rent change from City,109,81,2.536485214,No statistical difference from the City in the percent change of population with a bachelor's degree,15.3,9.1,Not adjacent to neighborhoods with high Market Pressure scores
Carroll Gardens-Columbia Street-Red Hook,BK33,Lowest,Lowest,Intermediate,Lower,39.9,25.9,2.3,7,1,Smaller proportion of severely rent burdened households than City,18.5,2.6,66.4,2,69.7,Smaller proportion of households in rent-stabilized units than City,24.4,9,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.5,2.9,No statistical difference in rent change from City,300,223,3.886527208,Smaller percent change of population with a bachelor's degree than the City,13.1,8.1,Adjacent to neighborhoods with high Market Pressure scores
Central Harlem North-Polo Grounds,MN03,Higher,Intermediate,Higher,Higher,89.3,45.6,1.9,11,1,Smaller proportion of severely rent burdened households than City,24.4,1.9,88.8,1.1,68.5,No statistical difference from the City in the proportion of rent-stabilized households,49,8.5,Larger proportion of units with 3+ maintenance deficiencies than the City,16.1,4.2,No statistical difference in rent change from City,238,54,4.004418337,Larger percent change of population with a bachelor's degree than the City,48.2,13.9,Adjacent to neighborhoods with high Market Pressure scores
Central Harlem South,MN11,Intermediate,Lower,Higher,Intermediate,76.4,36,2.1,9,1,Smaller proportion of severely rent burdened households than City,22.3,2.6,83.3,1.5,82.4,No statistical difference from the City in the proportion of rent-stabilized households,49,8.5,Larger proportion of units with 3+ maintenance deficiencies than the City,16.1,4.2,Larger rent change than City,325,103,4.004418337,No statistical difference from the City in the percent change of population with a bachelor's degree,42.8,13.3,Not adjacent to neighborhoods with high Market Pressure scores
Charleston-Richmond Valley-Tottenville,SI11,Lowest,Lowest,Intermediate,Lowest,19,11.3,1.8,4,1,Smaller proportion of severely rent burdened households than City,14.5,5.5,22.1,4.1,100,Smaller proportion of households in rent-stabilized units than City,13.7,9.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,2,1.6,Smaller rent change than City,-54,222,2.250587947,No statistical difference from the City in the percent change of population with a bachelor's degree,51.1,25,Not adjacent to neighborhoods with high Market Pressure scores
Chinatown,MN27,Higher,Higher,Highest,Lower,78.7,50.4,2.8,44,3,No statistical difference from the City in the proportion of severely rent burdened households,30.9,3.2,93.2,1.3,79.4,Smaller proportion of households in rent-stabilized units than City,36.6,7.9,Larger proportion of units with 3+ maintenance deficiencies than the City,17.5,3.4,No statistical difference in rent change from City,173,87,2.889143143,Smaller percent change of population with a bachelor's degree than the City,16.7,13.8,Adjacent to neighborhoods with high Market Pressure scores
Claremont-Bathgate,BX01,Higher,Higher,Higher,Lowest,98.5,72.3,3.1,23,2,No statistical difference from the City in the proportion of severely rent burdened households,31.4,3.8,96.3,1.1,54.5,No statistical difference from the City in the proportion of rent-stabilized households,45.8,9.7,Larger proportion of units with 3+ maintenance deficiencies than the City,21.2,5.6,No statistical difference in rent change from City,147,120,2.44456771,No statistical difference from the City in the percent change of population with a bachelor's degree,131.1,67.5,Not adjacent to neighborhoods with high Market Pressure scores
Clinton,MN15,Lower,Lower,Intermediate,Lower,50.5,27.6,2.4,12,2,Smaller proportion of severely rent burdened households than City,21.2,2.7,84.5,2,94.9,No statistical difference from the City in the proportion of rent-stabilized households,45.4,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.9,2.1,No statistical difference in rent change from City,258,171,2.218882145,No statistical difference from the City in the percent change of population with a bachelor's degree,34.2,11.3,Adjacent to neighborhoods with high Market Pressure scores
Clinton Hill,BK69,Lower,Lowest,Intermediate,Highest,53.8,25.2,1.9,6,1,Smaller proportion of severely rent burdened households than City,24.2,3,63.5,2.3,93.3,Smaller proportion of households in rent-stabilized units than City,24.5,5.8,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,7.8,3.7,Larger rent change than City,529,177,3.718974435,Larger percent change of population with a bachelor's degree than the City,48.2,12.6,Not adjacent to neighborhoods with high Market Pressure scores
Co-op City,BX13,Lower,Intermediate,Lowest,Lowest,95.5,29.4,3.3,12,3,No statistical difference from the City in the proportion of severely rent burdened households,23.1,5.9,55,4.6,23.5,No statistical difference from the City in the proportion of rent-stabilized households,29.4,16.6,Smaller proportion of units with 3+ maintenance deficiencies than the City,6.7,3.4,Smaller rent change than City,80,58,2.304880919,No statistical difference from the City in the percent change of population with a bachelor's degree,26.8,24.1,Not adjacent to neighborhoods with high Market Pressure scores
College Point,QN23,Higher,Highest,Lower,Lowest,81.9,32.3,2.9,48,4,Larger proportion of severely rent burdened households than City,36,6.1,56.1,3.8,99.9,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,No statistical difference in rent change from City,89,141,2.794468731,Smaller percent change of population with a bachelor's degree than the City,-29.7,12.4,Not adjacent to neighborhoods with high Market Pressure scores
Corona,QN25,Highest,Highest,Intermediate,Lowest,94,50.3,2.5,46,3,Larger proportion of severely rent burdened households than City,33.3,4.1,80.2,1.9,98,No statistical difference from the City in the proportion of rent-stabilized households,50.4,10.8,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.6,4.4,No statistical difference in rent change from City,111,81,3.318736579,No statistical difference from the City in the percent change of population with a bachelor's degree,7.1,18.3,Not adjacent to neighborhoods with high Market Pressure scores
Crotona Park East,BX75,Highest,Highest,Higher,Intermediate,98.4,64.1,3,22,3,Larger proportion of severely rent burdened households than City,34.2,3.6,93,1.6,77,No statistical difference from the City in the proportion of rent-stabilized households,45.8,9.7,Larger proportion of units with 3+ maintenance deficiencies than the City,21.2,5.6,Smaller rent change than City,68,92,2.44456771,Larger percent change of population with a bachelor's degree than the City,111,60.4,Not adjacent to neighborhoods with high Market Pressure scores
Crown Heights North,BK61,Intermediate,Lower,Higher,Higher,78.3,43.3,1.5,7,1,No statistical difference from the City in the proportion of severely rent burdened households,27.7,1.7,84.5,1.1,86,No statistical difference from the City in the proportion of rent-stabilized households,46.9,8.3,Larger proportion of units with 3+ maintenance deficiencies than the City,27.1,6.2,No statistical difference in rent change from City,216,56,3.969897347,Larger percent change of population with a bachelor's degree than the City,115.7,16.8,Adjacent to neighborhoods with high Market Pressure scores
Crown Heights South,BK63,Intermediate,Lower,Highest,Highest,67.7,39.9,2.2,8,1,No statistical difference from the City in the proportion of severely rent burdened households,28.7,3,86.3,1.7,96.1,Larger proportion of households in rent-stabilized units than City,77.2,7.3,Larger proportion of units with 3+ maintenance deficiencies than the City,20.3,6.1,Larger rent change than City,272,64,4.005171141,Larger percent change of population with a bachelor's degree than the City,76,23.3,Not adjacent to neighborhoods with high Market Pressure scores
Cypress Hills-City Line,BK83,Highest,Highest,Highest,Lowest,97.4,42.3,1.8,20,2,Larger proportion of severely rent burdened households than City,37,3.2,65.8,2.4,95.3,Smaller proportion of households in rent-stabilized units than City,11.5,6.1,Larger proportion of units with 3+ maintenance deficiencies than the City,17.8,5.1,Smaller rent change than City,26,79,3.323109456,No statistical difference from the City in the percent change of population with a bachelor's degree,26.8,21.6,Not adjacent to neighborhoods with high Market Pressure scores
Douglas Manor-Douglaston-Little Neck,QN45,Lower,Lower,Intermediate,Lowest,59.2,16.5,2.1,23,3,No statistical difference from the City in the proportion of severely rent burdened households,21.5,7,21.6,2.8,99.7,Smaller proportion of households in rent-stabilized units than City,24.1,16.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,1.7,1.9,No statistical difference in rent change from City,423,253,2.613075972,No statistical difference from the City in the percent change of population with a bachelor's degree,-4.9,10.7,Not adjacent to neighborhoods with high Market Pressure scores
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Lower,Lower,Higher,Highest,56,29.5,2.5,8,1,Smaller proportion of severely rent burdened households than City,17.6,2.2,75.8,1.3,76.5,Smaller proportion of households in rent-stabilized units than City,24.5,5.8,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,7.8,3.7,Larger rent change than City,"1,245",315,3.718974435,Larger percent change of population with a bachelor's degree than the City,89,13.8,Not adjacent to neighborhoods with high Market Pressure scores
Dyker Heights,BK30,Higher,Highest,Lower,Lowest,61.9,40.4,1.9,37,2,Larger proportion of severely rent burdened households than City,36.4,3.7,52.3,2.3,100,Larger proportion of households in rent-stabilized units than City,54.8,8.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.4,2.2,No statistical difference in rent change from City,120,81,3.044912315,No statistical difference from the City in the percent change of population with a bachelor's degree,30.2,12.9,Not adjacent to neighborhoods with high Market Pressure scores
East Concourse-Concourse Village,BX14,Highest,Highest,Higher,Lower,97.5,57.8,2.3,34,2,Larger proportion of severely rent burdened households than City,37.3,2.8,89.6,1.2,86,Larger proportion of households in rent-stabilized units than City,87.5,5.3,Larger proportion of units with 3+ maintenance deficiencies than the City,25.9,6.1,Smaller rent change than City,123,51,3.254752061,No statistical difference from the City in the percent change of population with a bachelor's degree,40.1,22.2,Adjacent to neighborhoods with high Market Pressure scores
East Elmhurst,QN27,Higher,Highest,Lower,Lowest,95.8,42.1,2,36,3,Larger proportion of severely rent burdened households than City,38.9,4.9,52.2,3.2,98.2,No statistical difference from the City in the proportion of rent-stabilized households,50,10.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.1,3.3,No statistical difference in rent change from City,118,210,3.104704667,Smaller percent change of population with a bachelor's degree than the City,-8.4,19.6,Not adjacent to neighborhoods with high Market Pressure scores
East Flatbush-Farragut,BK91,Higher,Higher,Intermediate,Lower,97.4,32.7,1.7,9,1,Larger proportion of severely rent burdened households than City,33.3,3,57.2,2,99.6,No statistical difference from the City in the proportion of rent-stabilized households,51.8,9.9,Larger proportion of units with 3+ maintenance deficiencies than the City,15.7,4.2,No statistical difference in rent change from City,241,60,3.205702925,No statistical difference from the City in the percent change of population with a bachelor's degree,11.3,12.3,Adjacent to neighborhoods with high Market Pressure scores
East Flushing,QN52,Higher,Highest,Lower,Lowest,88.9,41.2,2.2,57,3,Larger proportion of severely rent burdened households than City,41.7,4.7,51.5,2.7,100,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,Smaller rent change than City,8,164,2.794468731,Smaller percent change of population with a bachelor's degree than the City,-36,7.4,Not adjacent to neighborhoods with high Market Pressure scores
East Harlem North,MN34,Higher,Intermediate,Highest,Intermediate,90,60.7,2.7,16,2,Smaller proportion of severely rent burdened households than City,24.9,2.4,94.4,1,49.5,Smaller proportion of households in rent-stabilized units than City,32.9,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,18.4,4.9,No statistical difference in rent change from City,159,76,4.013571381,Larger percent change of population with a bachelor's degree than the City,68.4,22.4,Not adjacent to neighborhoods with high Market Pressure scores
East Harlem South,MN33,Intermediate,Intermediate,Higher,Lowest,80,50,2.5,18,2,Smaller proportion of severely rent burdened households than City,24.5,2.4,91.4,1.1,48,Smaller proportion of households in rent-stabilized units than City,32.9,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,18.4,4.9,No statistical difference in rent change from City,99,85,4.013571381,No statistical difference from the City in the percent change of population with a bachelor's degree,26.6,13,Not adjacent to neighborhoods with high Market Pressure scores
East New York,BK82,Highest,Highest,Higher,Lowest,98.3,50.3,1.5,10,1,Larger proportion of severely rent burdened households than City,35.8,2.2,75.3,1.4,68.6,Smaller proportion of households in rent-stabilized units than City,11.5,6.1,Larger proportion of units with 3+ maintenance deficiencies than the City,17.8,5.1,No statistical difference in rent change from City,120,67,3.323109456,No statistical difference from the City in the percent change of population with a bachelor's degree,30.7,16.3,Not adjacent to neighborhoods with high Market Pressure scores
East New York (Pennsylvania Ave),BK85,Highest,Highest,Higher,Intermediate,97.8,50.5,2.4,10,2,Larger proportion of severely rent burdened households than City,38.6,3.8,74,2.6,82,No statistical difference from the City in the proportion of rent-stabilized households,40.8,9.2,Larger proportion of units with 3+ maintenance deficiencies than the City,30.2,7,No statistical difference in rent change from City,64,130,3.145629614,Larger percent change of population with a bachelor's degree than the City,60,37.6,Not adjacent to neighborhoods with high Market Pressure scores
East Tremont,BX17,Highest,Highest,Higher,Lowest,98.3,64.6,2.7,25,2,Larger proportion of severely rent burdened households than City,38.2,3.2,93.2,1.3,74.9,No statistical difference from the City in the proportion of rent-stabilized households,45.8,9.7,Larger proportion of units with 3+ maintenance deficiencies than the City,21.2,5.6,Smaller rent change than City,77,80,2.44456771,No statistical difference from the City in the percent change of population with a bachelor's degree,30.6,28.5,Not adjacent to neighborhoods with high Market Pressure scores
East Village,MN22,Lowest,Lowest,Highest,Lowest,37.7,27.1,2.9,8,1,Smaller proportion of severely rent burdened households than City,22.5,2.9,88.9,1.8,95.5,Smaller proportion of households in rent-stabilized units than City,36.6,7.9,Larger proportion of units with 3+ maintenance deficiencies than the City,17.5,3.4,No statistical difference in rent change from City,300,158,2.889143143,Smaller percent change of population with a bachelor's degree than the City,5.5,10,Not adjacent to neighborhoods with high Market Pressure scores
East Williamsburg,BK90,Intermediate,Intermediate,Intermediate,Highest,55.5,33.7,2.4,20,2,Smaller proportion of severely rent burdened households than City,22.3,2.7,83.2,1.8,72.9,No statistical difference from the City in the proportion of rent-stabilized households,41.5,8.4,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.2,3.7,Larger rent change than City,506,174,3.494413696,Larger percent change of population with a bachelor's degree than the City,59.7,16.4,Not adjacent to neighborhoods with high Market Pressure scores
Eastchester-Edenwald-Baychester,BX03,Intermediate,Intermediate,Intermediate,Lowest,97.6,38.4,3.2,10,2,No statistical difference from the City in the proportion of severely rent burdened households,28.9,5.2,60.4,3,84,No statistical difference from the City in the proportion of rent-stabilized households,39.8,10.1,Larger proportion of units with 3+ maintenance deficiencies than the City,18.9,6.7,No statistical difference in rent change from City,209,108,2.398000253,No statistical difference from the City in the percent change of population with a bachelor's degree,33.2,25.5,Not adjacent to neighborhoods with high Market Pressure scores
